testnet address,score,reward QKC
0x5c9da4d4a8751698f1e88acf838db3897eabe91afb61543b,25,7000
0x1cc366ab221255d0dbf025cb30bf1a11148d8848706e24bf,95,3000
0xa179d3a49818438f631a02fae596c8bb0d86da65174c2e97,70,3000
0x630d831370ab836998e475fd0751d1334dc36c5a65390aad,100,1000
0xb7dbd8a625951e8861d4024e494aa2e0c447829e9eaf0ad0,100,1000
0xb28df6ac32fb1bfc6679db962d733ff946e3c6557e7c362f,100,1000
0xda5dfcd18dd2b3ec17c15a66582c515125a0583401f23f1e,17,1000
0xa5261761a52eb3769f3247491559dd6dab9ab0518f077255,95,1000
0x2b90843c904de90c45dc111c8c5fa68f7172f3c9f76c901b,57,1000
0x5f79d996e3b201a1acf85aca87dea7bb8b4b287d92cac3c9,100,1000
