testnet address,score
0x3170165af09f808825a3c03845487e4b165de952da7760f3,5
0x84e136c37ce04b587043567ebc0ce787b2a667aaf1b34027,5
0x14c568d62435b1a0d835745a7236048504a0e0dc027d0ece,10
0x39328694568323b7f669c9e7a5431dc4cc2b44bc3624b598,5
0xfddf4d80a56bf16e893009710acd07b4108846459b42cafc,8
0x5b128755a1000d805dd7c54dda9647f8a4987cb523b0d922,5
0x6cd006581c9bd0faaac2e3c6e47b0d4abd9727a8941c2cba,5
0x667551a9d7c9a89cc44f20094eaa87a5a0ee3c75f8c8d481,6
0x98d9a437305976a282361f447a980e9120f3301ee926dea7,12
0x9115ab62d76bf2b787a2acc64e49f0a369090476b02cd86a,43
0xf75c87cfd3f75c551e91916d651294fee16d1dbff09688ea,5
0xebe765c3ea92f186dbfcdfb23e505fd0da52b7c5a6ae33e5,5
0xe6230da322b8aaa3f82014f02cca03dc27df00090e96e12b,6
0xded2740e73975368c7c44526942ddc73d464349ab890612b,25
0x800721c65e50059724e2776dfc18d1aa2adb9d5d11f0ba98,12
0xfb28e402faf1e15395f686a3f956dc40ce55b65edf5eee72,5
0x2d9da4349663e353f24748ff0142e9f44a3c3030ee2e087f,12
0xfe6009b0bccb6579d1ae6df1b1325bb740cc37b065a79478,6
0x14c8c4846d7135cc528186104e99e7901192134164574133,12
0xf84579c8c5ff02289bee41a96b2a757e338442044ae9ad35,11
0x5ef663d2bcd7600db96d98459d611a5b6085d5d51bca5683,30
0x9194a44d4eb0d394f0a75ca39ae153328ebbba38db293dfb,11
0x0cea140be61e2e41414a72e1fd6577780ac354563fdd812b,11
0xbe690ca326d67172013dc76f71174e765e59113133aa37df,32
0x0880a3ede70a454ad0927e8200b7a528a7c41846d4972d8b,25
0x3da6b4eb25fa739f459b7736f8e0b2cff43071e9471fcb44,5
0x8adb6cc91e8a9158745210fa1df631d16837127ff31e0bb8,6
0x9772761089dd069735990a77d9ff0d3d727e9eaf65bbe964,10
0xd58e07184b26e6456b5667cf21b49df0fcb192712c543f68,5
0xc63d02f55e3af714b13b726f6cd6f7291121f744d8945512,5
0x95ef90dd68b44da671749af58e2f599d5e90fcc94d3dddb8,9
0x2a7965337e2e87b10ef28aa1b1cbfc8a2f17eef64741bfa7,5
0x1c269529453d6c38245245e5c4a940d9a984c4c97c5920e4,11
0xdd6ad9e2dfc0955887dfdffca88ddb0475b798550538ad32,6
0x785c89b7eda2f7be0a8a7e390016a0064d06bf336af315a3,5
0xa6efdb246126a5db01157bb44a8ff6dc5a6c756384d8e4cb,10
0x6abcc567a912472d0484c3e499f1ef0b9abd04da979fb346,5
0x7350074347dd6cc795c33d9b67753deadde15acaab923141,11
0x72fd6544ba656f93baada8a68089322c2cd95424ce4646f7,12
0xc14e78a8763808cb923fed0fa58370ed36292710d1f1dd0d,11
0x4d6b15e9b8e2711c5537bd03b59e39001eef0259aaff3c9b,25
0x4cfb34b515849c5a6280e70e8f3441d7d0f29ff335eea8fc,12
0xbce1b0af7b5e2adc02558a0b097fd54c86d64103d695c70b,12
0x726228078287ebfddccc80dcb1727763aba8643371b046fa,5
0x8bda37edb4e7ea1961b73d6b38b1d04047ecd174321a1db2,12
0xbbb4c5a5a7ad79d1f8af667d21890d30f5a0600ae050a3c4,11
0xef3c5e19dca34aec8d65c6c2352af5dbad5efb1cb573a30a,12
0x94a782f2a7585110c21e7227b7b2a388009b4ae79cb38c9c,12
0x82dd6f7b1c27ea7fdde27c1fecf791dc0438807138b6a8ba,5
0xb74bff2005052ffcf30b6fd24f0fe50f21b50045a5ecdcda,23
0xc05e2c1993b3620ded6cfdb20e7b45cb8484fce2e4c3e10d,5
0x9adec5e564cf931c310ef834f326c47e7bf8219d4062d190,10
0x131407a3e9f676c7a363a5c3d670909037325ceebd1dc7a7,12
0x47cda6f979e87483772e33a1eb5ca0be269a8ca49d8c6baa,48
0x7babd44737b824b237d27c5cb66dce3e5a5f5fc111461948,9
0x22b64b154625e7689e240fbb3364ce5fb7f0a236609e9b1f,5
0x5a034e9e2232833bedff2f661bda1f07313b3a1aae951429,20
0x4d3ff491b0fc9237a91f07c90fefea5ad0e833d9add30fec,12
0x4bc798997fbfa8f130466528137eae262b90f7346c1c8f88,11
0x0bb0e74cdb4c9ebb756ac86567d2d4b07f7bad65d5364e38,5
0xab314fb4cfe7bbfee46565a3a6a0b5cf61a6034656200915,11
0xa5674956940a67335c7d702e13e5edd1af068993172284e7,5
0xfc30822bd7d75aa9e2f885748e9fc5c1d92ec3ecd6cd3e4a,5
0x77acb5058f3d33b1091292b9778c693601edee846c8fbaac,26
0xf27ec770900225d229ed897511ed9e720b6fc8e09707af8c,5
0x4014fa3e9f26a2462215695771a9165ede990853c9a38c23,5
0xf6b6ebb8e7142d0f93e6a193cf3a5fde9db70a8f0cda0938,16
0xa63c82d55b5b53400493796b4ff8de2a6bff9413c650b26a,12
0x888f86f41a01b6ce42a6a9a29e2c0f9280fd57f1ee132398,25
0xec18953e3714806a2eb0f6c8926f54da4cba84c67e18eb2b,5
0xa6a4e753e48c3016d4ed67740a22b1be5c2531cb338b2e71,12
0x9163f264f52486405dbb404badb12f6ce97d4689d319a79b,12
